drugbank_id,drug_name,targets,n_targets
DB00002,Cetuximab,"['EGFR', 'FCGR3B', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2A']",7
DB00005,Etanercept,"['FCGR2A', 'FCGR2B', 'FCGR3A', 'FCGR3B', 'C1QA']",5
DB00009,Alteplase,"['PLG', 'FGA', 'FGG', 'SERPINE1']",4
DB00013,Urokinase,"['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']",6
DB00015,Reteplase,"['PLG', 'FGA', 'SERPINE1']",3
DB00025,"Antihemophilic factor, human recombinant","['F10', 'F9', 'VWF', 'PHYH', 'HSPA5', 'CALR', 'CANX', 'LMAN1', 'LRP1', 'MCFD2']",10
DB00028,Human immunoglobulin G,"['FCGR2A', 'FCGR2B', 'FCGR3A', 'FCGR3B', 'C3', 'C4A', 'C4B', 'C5']",8
DB00029,Anistreplase,"['PLG', 'FGA', 'SERPINE1']",3
DB00030,Insulin human,"['INSR', 'CPE', 'IGFBP7']",3
DB00039,Palifermin,"['FGFR2', 'FGFR1', 'HSPG2']",3
DB00054,Abciximab,"['FCGR2A', 'FCGR2B', 'VTN']",3
DB00055,Drotrecogin alfa,"['F8', 'F5', 'SERPINE1', 'THBD', 'PROS1', 'F2', 'SERPINA5', 'SERPINB6', 'PROCR']",9
DB00075,Muromonab,"['CD3D', 'CD3E', 'CD247', 'FCGR3B']",4
DB00087,Alemtuzumab,"['CD52', 'FCGR3B', 'FCGR3A', 'FCGR2A', 'FCGR2B']",5
DB00091,Cyclosporine,"['CAMLG', 'PPP3CA', 'PPIA', 'PPIF']",4
DB00092,Alefacept,"['CD2', 'FCGR3A', 'FCGR3B']",3
DB00098,Antithymocyte immunoglobulin (rabbit),"['MR1', 'ITGAL', 'FCGR2B', 'CD4', 'ITGB1', 'ITGAV']",6
DB00100,Coagulation Factor IX (Recombinant),"['F10', 'F11', 'F7', 'F8', 'F2', 'LRP1', 'GGCX']",7
DB00102,Becaplermin,"['PDGFRB', 'PDGFRA', 'A2M']",3
DB00110,Palivizumab,"['FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2B']",7
DB00111,Daclizumab,"['IL2RB', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2A', 'FCGR2B']",9
DB00112,Bevacizumab,"['C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2A', 'FCGR2B']",6
DB00114,Pyridoxal phosphate,"['ABAT', 'F2', 'AGXT2', 'CBS', 'KYNU', 'SHMT1', 'NFS1', 'GOT1', 'OAT', 'ODC1', 'AADAT', 'PNPO', 'SGPL1', 'TAT', 'KYAT1', 'PYGL', 'SPTLC2', 'CSAD', 'SDS', 'GLDC', 'GPT', 'PSAT1', 'ALAS1', 'AGXT', 'PDXP', 'SPTLC1', 'CTH', 'BCAT2', 'GOT2', 'PYGB', 'DDC', 'KYAT3', 'SCLY', 'PHYKPL', 'SHMT2', 'GPT2', 'MOCOS', 'SDSL', 'SRR', 'SEPSECS', 'SPTLC3', 'GOT1']",42
DB00115,Cyanocobalamin,"['MTR', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']",5
DB00116,Tetrahydrofolic acid,"['MTHFD1', 'MTHFD2', 'AMT', 'ALDH1L1', 'MTR', 'FTCD', 'ATIC', 'SHMT1', 'SHMT2', 'MTHFR', 'MTFMT']",11
DB00118,Ademetionine,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",5
DB00119,Pyruvic acid,"['ABAT', 'SLC16A3', 'AGXT2', 'PKLR', 'SLC16A7', 'PDHB', 'PKM', 'SLC16A4', 'SLC16A1', 'PC']",10
DB00120,Phenylalanine,"['TAT', 'SLC7A8', 'FARSA', 'PAH', 'FARS2', 'FARSB']",6
