dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Amitriptyline hydrochloride,-0.5530451944374595,0,-0.4403038246057073,0,-0.5270462766947299,0,Unexplained,-0.4403038246057073,1,0.5918712753061379,Unexplained / Idiosyncratic
Amoxicillin,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.4878179774646851,Unexplained / Idiosyncratic
Amphetamine sulfate,-0.3466394204147899,0,-0.2759750271819735,0,-0.3303437363217049,0,Unexplained,-0.2759750271819735,1,0.5159171777527606,Unexplained / Idiosyncratic
Ampicillin sodium,-0.2956150909981073,0,-0.2353522939658232,0,-0.2817180849095055,0,Unexplained,-0.2353522939658232,1,0.6186580290727417,Unexplained / Idiosyncratic
Anastrozole,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.3814374503007604,Unexplained / Idiosyncratic
Angiotensin ii acetate,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.3092313532097134,Unexplained / Idiosyncratic
Anidulafungin,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.2933081502552353,Unexplained / Idiosyncratic
Apalutamide,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.4634895446853149,Unexplained / Idiosyncratic
Apixaban,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.6247417606248096,Unexplained / Idiosyncratic
Aplaviroc,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.3719731250707176,Unexplained / Idiosyncratic
Apomorphine hydrochloride,-0.3910620072893602,0,-0.3113418201610679,0,-0.3726779962499649,0,Unexplained,-0.3113418201610679,0,0.3567038472785722,Unexplained / Idiosyncratic
Apremilast,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,0,0.5607635063675235,Unexplained / Idiosyncratic
Argatroban,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.4600155568839944,Unexplained / Idiosyncratic
