dilirank_name,smiles,is_dili,drugbank_id,targets,n_targets
Exenatide synthetic,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N6CCCC6C(=O)NC(CO)C(=O)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC9=CNC=N9)N,0,DB01276,['P43220'],1
Ezetimibe,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,1,DB00973,"['Q9UHC9', 'P35610', 'P15144']",3
Falnidamol,CN1CCC(CC1)NC2=NC=C3C(=N2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl,1,DB12966,['P00533'],1
Famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,1,DB00927,['P25021'],1
Febuxostat,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,1,DB04854,['P47989'],1
Felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,1,DB00949,"['Q13224', 'Q12879']",2
Felodipine,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,1,DB01023,"['Q13936', 'P54289', 'Q08289', 'Q01668', 'Q13698', 'O95180', 'Q9NY47', 'Q01064', 'P54750', 'P08235', 'P02585', 'P63316', 'P0DP23']",13
Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,1,DB01039,"['Q07869', 'O75469', 'Q9NPA2']",3
Fenofibric acid,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,1,DB13873,"['Q07869', 'P07148', 'Q9NPA2', 'P37231', 'Q03181', 'O75469']",6
Fenoldopam mesylate,CS(=O)(=O)O.C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,0,DB00800,"['P21918', 'P21728', 'P35368', 'P25100', 'P35348', 'P18089', 'P18825', 'P08913']",8
Ferric maltol,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Fe+3],0,DB15598,"['P05106', 'P49281']",2
Fexofenadine hydrochloride,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O.Cl,0,DB00950,['P35367'],1
Fialuridine,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)F)I,1,DB15427,['P04293'],1
Finasteride,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,1,DB01216,"['P31213', 'Q9H8P0', 'P18405', 'P51857']",4
Finerenone,CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,0,DB16165,['P08235'],1
Fingolimod hydrochloride,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl,1,DB08868,"['P35462', 'Q9NYA1', 'Q9H228', 'P21453', 'Q99500', 'Q13547', 'O95977']",7
Flavoxate hydrochloride,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4.Cl,1,DB01148,"['P11229', 'P08912', 'P08172']",3
Flecainide acetate,CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,1,DB01195,"['P35499', 'Q14524', 'Q12809', 'Q92736']",4
Flibanserin,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F,0,DB04908,"['P08908', 'P28223', 'P21917']",3
Florbetaben f-18,CNC1=CC=C(C=C1)C=CC2=CC=C(C=C2)OCCOCCOCCF,0,DB09148,['P05067'],1
Florbetapir f-18,CNC1=CC=C(C=C1)C=CC2=CN=C(C=C2)OCCOCCOCCF,0,DB09149,['P05067'],1
Flortaucipir f-18,C1=CC2=C(C=C1C3=CN=C(C=C3)F)NC4=C2C=NC=C4,0,DB14914,"['P10636', 'P21397', 'P27338']",3
Fluciclovine f-18,C1C(CC1(C(=O)O)N)F,0,DB13146,"['Q15758', 'Q9UM01', 'Q8WY07', 'Q05586', 'P42261', 'P42262', 'P42263', 'P48058']",8
Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,1,DB00196,['P10613'],1
Fludrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,0,DB00687,"['P10275', 'P08235', 'P04150']",3
Flumazenil,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,0,DB01205,"['P30536', 'P18507', 'P47869', 'Q99928', 'P34903', 'P31644', 'P14867', 'P14867']",8
Fluorescein sodium,C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)[O-])C(=O)[O-].[Na+].[Na+],0,DB00693,"['Q8TCC7', 'P06310']",2
Fluoroestradiol f-18,CC12CCC3C(C1CC(C2O)F)CCC4=C3C=CC(=C4)O,0,DB15690,"['P03372', 'Q92731']",2
Fluorouracil,C1=C(C(=O)NC(=O)N1)F,1,DB00544,"['O14746', 'Q12882', 'P12461', 'P04818']",4
Fluoxetine hydrochloride,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,1,DB00472,"['P31645', 'P28335', 'Q15822', 'P32297', 'P30926', 'P61024', 'Q12809']",7
Flurazepam hydrochloride,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F.Cl.Cl,1,DB00690,"['P30536', 'P14867', 'P14867']",3
Flurbiprofen sodium,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)[O-].[Na+],1,DB00712,"['P35354', 'P23219']",2
Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,1,DB00499,"['P10275', 'P35869', 'O75469']",3
Flutemetamol f-18,CNC1=C(C=C(C=C1)C2=NC3=C(S2)C=C(C=C3)O)F,0,DB09151,['P05067'],1
Fluvastatin sodium,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],1,DB01095,"['P04035', 'Q92769']",2
Folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,0,DB00158,"['Q96NT5', 'P41440', 'P41439', 'P14207', 'P15328']",5
Fondaparinux sodium,COC1C(C(C(C(O1)COS(=O)(=O)[O-])OC2C(C(C(C(O2)C(=O)[O-])OC3C(C(C(C(O3)COS(=O)(=O)[O-])OC4C(C(C(C(O4)C(=O)[O-])OC5C(C(C(C(O5)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1,DB00569,"['P00742', 'P01008']",2
Fosinopril sodium,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3.[Na+],1,DB00492,['P12821'],1
Fosphenytoin sodium,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)([O-])[O-])C3=CC=CC=C3.[Na+].[Na+],1,DB01320,['Q14524'],1
Gabapentin,C1CCC(CC1)(CC(=O)O)CN,1,DB00996,"['P54289', 'O75899', 'Q9UBS5', 'Q9NY47', 'A0A024R8I1', 'P30542', 'O43525', 'Q9NR82']",8
Gabapentin enacarbil,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,0,DB08872,"['Q9Y289', 'P54289', 'Q9NY47']",3
Gadofosveset trisodium,C1CC(CCC1OP(=O)([O-])OCC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])(C2=CC=CC=C2)C3=CC=CC=C3.[Na+].[Na+].[Na+].[Gd+3],0,DB06705,['P02768'],1
Gallium ga-68 edotreotide,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)NC(CO)C(C)O)O.[Ga+3],0,DB15494,"['P30874', 'P35346', 'P32745', 'P30872']",4
Gallium ga-68 gozetotide,[H+].C1=CC(=C(C=C1CCC(=O)NCCCCCC(=O)NCCCCC(C(=O)O)NC(=O)NC(CCC(=O)O)C(=O)O)CN(CCN(CC2=C(C=CC(=C2)CCC(=O)O)[O-])CC(=O)[O-])CC(=O)[O-])[O-].[Ga+3],0,DB16019,"['P07288', 'Q04609']",2
Ganirelix acetate,CCNC(=NCCCCC(C(=O)NC(CC(C)C)C(=O)NC(CCCCN=C(NCC)NCC)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C)NCC.CC(=O)O.CC(=O)O,0,DB06785,['P30968'],1
Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,1,DB00317,['P00533'],1
Gemcitabine hydrochloride,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F.Cl,1,DB00441,"['P31350', 'P23921', 'P04818', 'P30085']",4
Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,1,DB01241,"['Q07869', 'P06858', 'Q9Y6L6', 'Q8TCC7', 'O94956', 'Q9NPD5']",6
Gemifloxacin mesylate,CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F.CS(=O)(=O)O,1,DB01155,"['P43700', 'P0A0K8', 'P20831', 'P43702']",4
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,1,DB00222,"['O60706', 'Q14654', 'P48048', 'Q09428']",4
Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,1,DB01067,"['Q09428', 'P78508', 'P37231']",3
Glyburide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,1,DB01016,"['Q09428', 'Q09428', 'O60706', 'O95342', 'O95477', 'Q14654', 'P50416', 'P13569', 'Q8TD43']",9
Glycopyrrolate,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],0,DB00986,"['P11229', 'P20309', 'P08172', 'P08173', 'P08912']",5
Guaifenesin,COC1=CC=CC=C1OCC(CO)O,0,DB00874,['Q05586'],1
Heparin sodium,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O.[Na+],1,DB01109,"['P01008', 'P00742', 'P16109', 'P22455', 'P08620', 'O95750', 'P11362', 'P05230', 'P21802', 'P09038', 'P02776', 'P14210']",12
Hydralazine hydrochloride,C1=CC=C2C(=C1)C=NN=C2NN.Cl,1,DB01275,"['Q16853', 'Q16665', 'P13674']",3
Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,1,DB00999,"['P55017', 'P12821', 'Q12791']",3
Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,0,DB00741,"['P04150', 'P04083']",2
Hydroxychloroquine sulfate,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,1,DB01611,"['Q9NYK1', 'Q9NR96', 'Q9BYF1']",3
Hydroxyurea,C(=O)(N)NO,1,DB01005,"['P23921', 'P31350']",2
Hydroxyzine hydrochloride,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,0,DB00557,"['P35367', 'Q12809']",2
Ibandronate sodium,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+],1,DB00710,"['O95749', 'P14324']",2
Ibrutinib,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,1,DB09053,['Q06187'],1
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,DB01050,"['P35354', 'P25025', 'P10145', 'P25024', 'P23219', 'P10415', 'P07204', 'P12104', 'P37231', 'P13569', 'Q07869', 'P07359', 'P31151']",13
Idelalisib,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,1,DB09054,['O00329'],1
Ifosfamide,C1CN(P(=O)(OC1)NCCCl)CCCl,1,DB01181,['O75469'],1
Imatinib mesylate,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,1,DB00619,"['P11274', 'Q07820', 'P10721', 'P07949', 'P16234', 'P00519', 'P09619', 'P04629', 'P07333', 'Q08345', 'Q16832']",11
Imipramine hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,1,DB00458,"['P23975', 'P31645', 'P28223', 'P35367', 'P35348', 'P25100', 'P11229', 'P08172', 'P20309', 'P08173', 'P08912', 'Q9NZV8', 'Q9UK17', 'P28335', 'P35368', 'P34969', 'P21728', 'P14416', 'Q12809', 'Q01959', 'P08908', 'P50406', 'O95259', 'P19652']",24
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,DB00328,"['P35354', 'P14555', 'P23219', 'P23219', 'Q8N8N7', 'P37231', 'Q04760', 'Q9Y5Y4', 'Q07869', 'P42330', 'P19525']",11
Interferon alfa-2b,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.C(S(=O)(=O)[O-])(I)I.[Na+],1,DB00105,"['P48551', 'P01563', 'P17181']",3
Iodipamide sodium,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)[O-])I)I)I)C(=O)[O-])I.[Na+].[Na+],0,DB04711,['P02768'],1
Ioflupane i-123,COC(=O)C1C2CCC(N2CCCF)CC1C3=CC=C(C=C3)I,0,DB08824,['Q01959'],1
Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,1,DB04818,"['P21397', 'P27338']",2
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,1,DB01029,"['P30556', 'P05412']",2
Irinotecan hydrochloride,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.Cl,1,DB00762,"['Q969P6', 'P11387']",2
Isoniazid,C1=CN=CC=C1C(=O)NN,1,DB00951,"['P9WIE5', 'P9WGR1', 'P10632', 'P05177', 'P08684', 'P33261', 'P9WNX1']",7
Isoproterenol hydrochloride,CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl,0,DB01064,"['P08588', 'P29460', 'P07550', 'P13945', 'P00441']",5
Isosorbide dinitrate,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-],0,DB00883,['P16066'],1
Isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1,DB00982,"['P13631', 'P10276']",2
Isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,1,DB00270,"['Q13936', 'P54289', 'Q08289', 'O95180', 'Q9NY47', 'Q01668', 'Q13698']",7
Istradefylline,CCN1C2=C(C(=O)N(C1=O)CC)N(C(=N2)C=CC3=CC(=C(C=C3)OC)OC)C,0,DB11757,"['P29274', 'P30542']",2
Itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,1,DB01167,"['P14263', 'P10613']",2
Ivabradine hydrochloride,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC.Cl,0,DB09083,['Q9UL51'],1
Ivacaftor,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C,1,DB08820,['P13569'],1
Ivermectin,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,1,DB00602,"['Q17328', 'G5EBR3']",2
Kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,0,DB01172,['P0A7S3'],1
Ketamine hydrochloride,CNC1(CCCCC1=O)C2=CC=CC=C2Cl.Cl,1,DB01221,"['Q8TCU5', 'P46098', 'P36544', 'P06276', 'P29475', 'P25103', 'P14416', 'P41143', 'P23975', 'P41145', 'P35372', 'P11229', 'P28223', 'P08908']",14
Ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,1,DB01026,"['P10613', 'P50859', 'P05093', 'P10275', 'P08686', 'Q12809', 'O75469', 'Q14994']",8
Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,1,DB01009,"['P35354', 'P23219', 'P25024']",3
Labetalol hydrochloride,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl,1,DB00598,"['P08588', 'P07550', 'P35348']",3
Lactulose,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,0,DB00581,['P06864'],1
Lamivudine,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,1,DB00709,"['P03366', 'Q72547', 'Q05486']",3
Lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,1,DB00555,"['Q15878', 'Q9UI33', 'P35498', 'P30542', 'P29274', 'P35348', 'P08913', 'P08588', 'P21728', 'P14416', 'P14867', 'P14867', 'P35367', 'P41145', 'P02708', 'P28223', 'P46098', 'P42261']",18
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,1,DB00448,"['P20648', 'P10636']",2
Leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,1,DB01097,"['Q02127', 'Q08210', 'P35869', 'Q14289']",4
Lemborexant,CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,0,DB11951,"['O43613', 'O43614']",2
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,1,DB00480,"['P01375', 'Q96SW2', 'O14788', 'P33151', 'P35354']",5
Letermovir,COC1=C(C=C(C=C1)C(F)(F)F)N2C(C3=C(C(=CC=C3)F)N=C2N4CCN(CC4)C5=CC(=CC=C5)OC)CC(=O)O,1,DB12070,['F5HC79'],1
Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,1,DB01006,['P11511'],1
Leuprolide acetate,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,1,DB00007,"['P30968', 'P01148']",2
Levetiracetam,CCC(C(=O)N)N1CCCC1=O,1,DB01202,"['P46098', 'Q00975', 'Q7L0J3']",3
Levocarnitine,C[N+](C)(C)CC(CC(=O)[O-])O,0,DB00583,"['Q92523', 'P47989', 'P23141', 'P05164', 'P50416', 'Q9H015', 'O76082', 'P43155', 'Q8N8R3', 'O43772', 'Q9UKG9', 'P23786']",12
Levofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,1,DB01137,"['P43700', 'P0A0K8', 'P20831', 'P43702']",4
Levoleucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0,DB11596,['P0A827'],1
Levonorgestrel,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,0,DB00367,"['P06401', 'P18405', 'P03372', 'P10275', 'P04278', 'P04150']",6
Levorphanol tartrate,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O.C(C(C(=O)O)O)(C(=O)O)O,0,DB00854,"['P35372', 'P41143', 'P41145']",3
Levothyroxine sodium,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.[Na+],1,DB00451,"['P06756', 'P05106', 'P10827', 'P10828']",4
Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,0,DB00281,"['Q9UI33', 'Q9Y5Y9', 'Q15858', 'Q14524', 'P00533', 'P35499', 'P02763', 'P19652']",8
Linaclotide,CC1C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)CNC(=O)C(NC2=O)C(C)O)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)O)C(=O)NC(CSSCC(C(=O)N3)N)C(=O)NC(C(=O)N5CCCC5C(=O)N1)CC(=O)N)CC6=CC=C(C=C6)O)CCC(=O)O,0,DB08890,['P25092'],1
Linagliptin,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,1,DB08882,['P27487'],1
Liothyronine sodium,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)[O-])N)I)I)O.[Na+],0,DB00279,"['P10827', 'P10828', 'P12004']",3
Liraglutide,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,1,DB06655,['P43220'],1
Lisinopril,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,1,DB00722,"['P12821', 'P00797']",2
Lofexidine hydrochloride,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl.Cl,0,DB04948,"['P08913', 'P35348', 'P08908', 'P34969', 'P28335', 'P28221']",6
Lomitapide mesylate,CS(=O)(=O)O.C1CN(CCC1NC(=O)C2=CC=CC=C2C3=CC=C(C=C3)C(F)(F)F)CCCCC4(C5=CC=CC=C5C6=CC=CC=C64)C(=O)NCC(F)(F)F,1,DB08827,['P55157'],1
Lomustine,C1CCC(CC1)NC(=O)N(CCCl)N=O,1,DB01206,['Q9H169'],1
Loperamide hydrochloride,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,0,DB00836,"['P35372', 'P41143', 'P41145', 'P01189', 'O00555', 'Q12809', 'P0DP23']",7
Loracarbef,C1CC(=C(N2C1C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,1,DB00447,"['Q75Y35', 'Q8XJ01']",2
Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,0,DB00455,"['P35367', 'Q12809']",2
Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,1,DB00186,"['P30536', 'P14867', 'P14867']",3
Losartan potassium,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl.[K+],1,DB00678,"['P19235', 'P30556']",2
Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,1,DB00227,"['P04035', 'P20701', 'Q92769']",3
Lubiprostone,CCCCC(C1(CCC2C(O1)CC(=O)C2CCCCCCC(=O)O)O)(F)F,0,DB01046,['P51788'],1
Lumiracoxib,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,1,DB01283,"['P35354', 'P23219']",2
Lurasidone hydrochloride,C1CCC(C(C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)C6C7CCC(C7)C6C5=O.Cl,0,DB08815,"['P14416', 'P28223', 'P34969', 'P08908', 'P18825', 'P08913']",6
Lusutrombopag,CCCCCCOC(C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)C=C(C)C(=O)O)Cl,0,DB13125,['P40238'],1
