dilirank_name,smiles,is_dili,drugbank_id,targets,n_targets
Dactinomycin,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1,DB00970,"['P11388', 'P11387']",2
Dalfampridine,C1=CN=CC=C1N,0,DB06637,"['Q09470', 'P16389', 'P22001', 'P22459', 'P22460', 'P17658', 'Q96RP8', 'Q16322', 'Q14721', 'Q92953', 'P48547', 'Q96PR1', 'Q14003', 'Q9NSA2', 'Q9NZV8', 'Q9UK17']",16
Dalteparin sodium,C1N(CN(CN1CCO)CC[O-])CCO.[Na+],1,DB06779,"['P01008', 'P15692', 'P16109']",3
Danazol,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,1,DB01406,"['P03372', 'P10275', 'P06401', 'P30968', 'Q96P88', 'P13500']",6
Dantrolene sodium,C1C(=NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],1,DB01219,['P21817'],1
Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl,0,DB06292,['P31639'],1
Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1,DB00250,"['P0C0X2', 'P0C0X1']",2
Daptomycin,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,1,DB00080,['P0AC13'],1
Darunavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,1,DB01264,"['Q72874', 'P03366']",2
Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,1,DB01254,"['P00519', 'P12931', 'P29317', 'P06239', 'P07947', 'P10721', 'P09619', 'P06241', 'P11274', 'P51692', 'P42684', 'Q06187', 'Q92570', 'P41240', 'P54756', 'P54760', 'P09769', 'P42685', 'P11142', 'P07948', 'Q9NYL2', 'Q16539', 'Q06203']",23
Daunorubicin hydrochloride,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,0,DB00694,"['P11388', 'Q02880']",2
Deferoxamine mesylate,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O,1,DB00746,['P05067'],1
Defibrotide sodium,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)OP(=O)(O)O,0,DB04932,"['P30542', 'P29274', 'P29275']",3
Deflazacort,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,0,DB11921,['P04150'],1
Deoxycholic acid,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,0,DB03619,"['P12004', 'P07445', 'Q8GGK7', 'Q7Z2Z2', 'P54965', 'P25553', 'P31224', 'P33517', 'Q03736', 'Q96RI1', 'P09211', 'Q8TDU6', 'P08263']",13
Desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,1,DB00967,['P35367'],1
Deutetrabenazine,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,0,DB12161,['Q05940'],1
Dexbrompheniramine maleate,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O,0,DB00405,['P35367'],1
Dexlansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,1,DB05351,"['P20648', 'P51164', 'O94760']",3
Dexmethylphenidate hydrochloride,COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl,1,DB06701,"['Q01959', 'P23975', 'P31645']",3
Dextroamphetamine sulfate,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,0,DB01576,"['Q05940', 'P23975', 'Q01959', 'Q96RJ0', 'P35368', 'P35348']",6
Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,1,DB00829,"['P30536', 'P14867', 'P14867']",3
Dichlorphenamide,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,0,DB01144,"['P00918', 'P00915', 'P22748', 'P43166', 'P07451']",5
Diclofenac sodium,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],1,DB00586,"['P35354', 'P23219']",2
Dicloxacillin sodium,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],1,DB00485,"['A0A0E1R3H3', 'Q7CRA4', 'Q8DNB6', 'Q75Y35', 'Q8DR59', 'P0A3M6']",6
Dicyclomine hydrochloride,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,0,DB00804,"['P11229', 'P20309', 'P08172']",3
Didanosine,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,1,DB00900,"['Q72547', 'P03366', 'P00491']",3
Diethylpropion hydrochloride,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl,0,DB00937,"['P23975', 'P31645', 'Q01959']",3
Difelikefalin acetate,CC(C)CC(C(=O)NC(CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N.CC(=O)O,0,DB11938,['P41145'],1
Diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,1,DB00861,"['P35354', 'P23219']",2
Digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,0,DB00390,"['P50993', 'P13637', 'P05026', 'P14415', 'P54709', 'Q6ZQN7', 'P05023']",7
Dihydroergotamine mesylate,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,0,DB00320,"['P28222', 'P28221', 'P30939', 'P14416', 'P08913', 'P08908', 'P28566', 'P28223', 'P41595', 'P28335', 'P35348', 'P08913', 'P35462', 'P21917', 'Q13639', 'P13945']",16
Diltiazem hydrochloride,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,1,DB00343,"['Q13936', 'P54289', 'Q06432']",3
Dimenhydrinate,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,0,DB00985,['P35367'],1
Dimercaprol,C(C(CS)S)O,0,DB06782,['P05067'],1
Dimethyl fumarate,COC(=O)C=CC(=O)OC,1,DB08908,"['Q14145', 'Q04206']",2
Diphenhydramine hydrochloride,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,0,DB01075,"['P50135', 'P35367', 'P08172']",3
Diphenoxylate,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,0,DB01081,"['P35372', 'P41143']",2
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,1,DB00822,"['P09172', 'P51648', 'P05091']",3
Dobutamine hydrochloride,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O.Cl,0,DB00841,"['P35348', 'P08588', 'P07550', 'P03372']",4
Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,1,DB01248,"['Q9H4B7', 'P10415', 'O75469']",3
Dofetilide,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,1,DB00204,"['Q12809', 'O95069', 'Q14500']",3
Dolutegravir sodium,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+],1,DB08930,"['P03366', 'Q7ZJM1']",2
Donepezil hydrochloride,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC.Cl,1,DB00843,"['P22303', 'P28223', 'P06276', 'P29475', 'P98066', 'P01584', 'Q00653', 'Q05586']",8
Dopamine hydrochloride,C1=CC(=C(C=C1CCN)O)O.Cl,0,DB00988,"['P14416', 'P21728', 'P21918', 'P35462', 'P21917', 'Q01959', 'P09172', 'P08908', 'P34969', 'P21728', 'P23975', 'P31645', 'P46098', 'O95264', 'P00441', 'Q05940']",16
Doxapram hydrochloride,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4.O.Cl,0,DB00561,"['O14649', 'Q9NPC2']",2
Doxazosin mesylate,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,1,DB00590,"['P35348', 'P25100', 'Q12809', 'P35368']",4
Doxepin hydrochloride,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31.Cl,1,DB01142,"['P35367', 'P25021', 'P23975', 'P31645', 'P28223', 'P41595', 'P28335', 'P11229', 'P08172', 'P20309', 'P08173', 'P08912', 'P35348', 'P35368', 'P25100', 'P08908', 'P50406', 'Q9H3N8', 'Q12809']",19
Doxorubicin hydrochloride,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,1,DB00997,"['P11388', 'O14746', 'P11387', 'Q02880', 'Q14978']",5
Dronedarone hydrochloride,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC.Cl,1,DB04855,"['P35348', 'P22460', 'P35368', 'P25100', 'P08913', 'P18089', 'P18825', 'Q12809', 'Q13936', 'Q01668', 'O60840', 'Q13698', 'Q02641', 'Q08289', 'P54284', 'O00305', 'O95069', 'Q14524', 'P48549', 'P51787', 'Q14500', 'P32418', 'Q9UK17', 'P08588', 'P10827']",25
