model,auc,drop
All features,0.8748917748917749,
Without n_dili_hits,0.878030303030303,-0.003138528138528107
Without ECNP,0.8773809523809525,-0.002489177489177541
Without both,0.8629870129870131,0.011904761904761862
ECNP independent contribution,0.01504329004328997,
