model,roc_auc,pr_auc,balanced_accuracy
Logistic Regression (balanced),0.6531538378026271,0.7678114257001927,0.596341331017262
Random Forest (balanced),0.6483877971990012,0.7801925966781071,0.5751058516990555
Gradient Boosting,0.6318966453153837,0.7613833880131791,0.6033329714471827
XGBoost (weighted),0.613353598957768,0.7608863152303391,0.5775594398002388
