drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size,smiles,targets,target_list,logp,mw,hbd,hba,tpsa,rotatable,k,n_dili_hits,n_cyp_hits,n_tf_hits,n_transporter_hits,n_network_hits,network_fraction,dili_fraction,has_network_targets,has_transporter_targets,high_logp,ecnp_z,ecnp_eligible,y_pred_full
DB01183,Naloxone,Naloxone hydrochloride,4,vNo-DILI-concern,0,-0.0167251214759097,0.177614648200437,0.1788333552501411,280,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O.Cl,"['CREB1', 'ESR1', 'TLR4', 'CES1']","['CREB1', 'ESR1', 'TLR4', 'CES1']",1.7232000000000007,363.84099999999995,2.0,5.0,70.00000000000001,2.0,4,0,0,0,0,0,0.0,0.0,0,0,0,-0.0167251214759097,0,0.8935276
DB01197,Captopril,Captopril,3,vLess-DILI-concern,1,1.211586774675138,0.3377924273781587,0.2361077900478524,257,CC(CS)C(=O)N1CCCC1C(=O)O,"['MMP2', 'MMP9', 'LTA4H']","['MMP2', 'MMP9', 'LTA4H']",0.6279000000000001,217.28999999999996,2.0,3.0,57.61,3.0,3,1,0,0,0,1,0.3333333333333333,0.3333333333333333,1,0,0,1.211586774675138,1,0.99558806
DB01213,Fomepizole,Omeprazole,4,vLess-DILI-concern,1,0.7805029683477802,0.3510963629301133,0.2695187892298367,368,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,"['ADH1A', 'ADH1B', 'ADH1C', 'CAT']","['ADH1A', 'ADH1B', 'ADH1C', 'CAT']",2.8997400000000013,345.42400000000004,1.0,5.0,77.10000000000001,5.0,4,1,0,0,0,1,0.25,0.25,1,0,0,0.7805029683477802,1,0.9883853
DB01216,Finasteride,Finasteride,4,vLess-DILI-concern,1,-0.3327025327708771,0.2101342919369129,0.2579328937647478,304,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,"['SRD5A2', 'SRD5A3', 'SRD5A1', 'AKR1D1']","['SRD5A2', 'SRD5A3', 'SRD5A1', 'AKR1D1']",3.8145000000000024,372.5530000000001,2.0,2.0,58.2,1.0,4,0,0,0,0,0,0.0,0.0,0,0,1,-0.3327025327708771,0,0.35560024
DB01225,Enoxaparin,Enoxaparin sodium,3,vLess-DILI-concern,1,0.4283613401692558,0.2800550362127195,0.2193548480919866,331,CC1C(C(OC(C1OC2CC(C(C(C2O)O)OC3C(C(C(C(O3)COS(=O)(=O)O)OC4C(C(C=C(O4)C(=O)[O-])O)O)O)NC(=O)C)C(=O)[O-])CO)OC5C(C(C(OC5C(=O)[O-])OC6C7COC(O7)C(C6O)NS(=O)(=O)[O-])O)O)NC(=O)C.[Na+].[Na+].[Na+].[Na+],"['SERPINC1', 'F10', 'F2']","['SERPINC1', 'F10', 'F2']",-26.500599999999952,1322.0140000000008,13.0,34.0,595.02,21.0,3,0,0,0,0,0,0.0,0.0,0,0,0,0.4283613401692558,0,0.23704068
DB01238,Aripiprazole,Aripiprazole,4,vLess-DILI-concern,1,0.0242045082210712,0.0499660371507879,0.0469128142156312,470,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2']","['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2']",4.859300000000005,448.3940000000001,1.0,4.0,44.81,7.0,4,0,0,0,0,0,0.0,0.0,0,0,1,0.0242045082210712,0,0.6291271
DB01241,Gemfibrozil,Gemfibrozil,3,vMost-DILI-concern,1,1.308609159800118,0.3414993465419854,0.2250039809072777,365,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,"['PPARA', 'SLCO1B1', 'SLCO1B3']","['PPARA', 'SLCO1B1', 'SLCO1B3']",3.573240000000002,250.33799999999994,1.0,2.0,46.53,6.0,3,1,0,1,1,1,0.3333333333333333,0.3333333333333333,1,1,1,1.308609159800118,1,0.9981687
DB01254,Dasatinib,Dasatinib,19,vLess-DILI-concern,1,0.0815118762314264,0.241151461193722,0.2317614642855571,1859,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,"['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'PDGFRB', 'FYN', 'BCR', 'STAT5B', 'ABL2', 'CSK', 'EPHB4', 'FGR', 'FRK', 'HSPA8', 'LYN', 'MAP3K20', 'MAPK14', 'PPAT']","['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'PDGFRB', 'FYN', 'BCR', 'STAT5B', 'ABL2', 'CSK', 'EPHB4', 'FGR', 'FRK', 'HSPA8', 'LYN', 'MAP3K20', 'MAPK14', 'PPAT']",3.313540000000002,488.01700000000034,3.0,9.0,106.50999999999999,7.0,19,0,0,0,0,0,0.0,0.0,0,0,1,0.0815118762314264,0,0.62096727
DB01259,Lapatinib,Capmatinib hydrochloride,3,vLess-DILI-concern,1,0.1227150414782665,0.0464086081670729,0.0315297229403417,256,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F.O.Cl.Cl,"['EGFR', 'EEF2K', 'ERBB2']","['EGFR', 'EEF2K', 'ERBB2']",3.4479000000000037,503.3650000000002,1.0,6.0,116.57000000000001,4.0,3,0,0,0,0,0,0.0,0.0,0,0,1,0.1227150414782665,0,0.9537527
DB01262,Decitabine,Gemcitabine hydrochloride,3,vMost-DILI-concern,1,-0.0282245299128658,0.0317582483093522,0.0352419508729232,215,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F.Cl,"['DNMT1', 'DNMT3A', 'HDAC1']","['DNMT1', 'DNMT3A', 'HDAC1']",-0.8668000000000002,299.661,3.0,7.0,110.60000000000001,2.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.0282245299128658,0,0.9263226
