dilirank_name,norm_name,is_dili
Sucralfate,sucralfate,0
Sufentanil citrate,sufentanil,0
Sugammadex sodium,sugammadex,0
suloctidil,suloctidil,1
Sulfacarbamide,sulfacarbamide,1
Sulfadiazine,sulfadiazine,1
Sulfamethizole,sulfamethizole,1
Sulfathiazole,sulfathiazole,1
Sunitinib malate,sunitinib malate,1
Suvorexant,suvorexant,0
Tacrolimus,tacrolimus,1
Tadalafil,tadalafil,1
Tafamidis meglumine,tafamidis meglumine,0
Tamsulosin hydrochloride,tamsulosin,1
Tapentadol hydrochloride,tapentadol,0
Tasosartan,tasosartan,1
Technetium tc-99m exametazime kit,technetium tc-99m exametazime kit,0
Tecovirimat,tecovirimat,0
Telithromycin,telithromycin,1
Telmisartan,telmisartan,1
Temozolomide,temozolomide,1
Temsirolimus,temsirolimus,0
Tenapanor hydrochloride,tenapanor,0
Tenecteplase,tenecteplase,0
Teniposide,teniposide,1
Tenofovir disoproxil fumarate,tenofovir disoproxil,1
Terbinafine hydrochloride,terbinafine,1
Terbutaline sulfate,terbutaline,1
Teriflunomide,teriflunomide,1
Teriparatide acetate,teriparatide,1
Tetrabamate,tetrabamate,1
Tetracycline phosphate complex,tetracycline complex,1
Thalidomide,thalidomide,1
Theophylline sodium glycinate,theophylline glycinate,0
Thiabendazole,thiabendazole,1
Thiamine hydrochloride,thiamine,0
Thioguanine,thioguanine,1
Thioridazine hydrochloride,thioridazine,1
Thiotepa,thiotepa,1
Thyrotropin alfa,thyrotropin alfa,0
Ticagrelor,ticagrelor,0
Ticlopidine hydrochloride,ticlopidine,1
Ticrynafen,ticrynafen,1
Tigecycline,tigecycline,1
Tilbroquinol,tilbroquinol,1
Tiludronate disodium,tiludronate disodium,0
Tinidazole,tinidazole,1
Tipranavir,tipranavir,1
Tirofiban hydrochloride,tirofiban,0
Tizanidine hydrochloride,tizanidine,1
Tolazamide,tolazamide,1
Tolcapone,tolcapone,1
Tolmetin sodium,tolmetin,1
Tolterodine tartrate,tolterodine,1
Tolvaptan,tolvaptan,1
Topiramate,topiramate,1
Topotecan hydrochloride,topotecan,0
Tramadol hydrochloride,tramadol,1
Trametinib dimethyl sulfoxide,trametinib dimethyl sulfoxide,1
Trandolapril,trandolapril,1
Tranexamic acid,tranexamic acid,0
Tranylcypromine sulfate,tranylcypromine,1
Trastuzumab,trastuzumab,1
Trazodone hydrochloride,trazodone,1
Triacetyldiphenolisatin,triacetyldiphenolisatin,1
Triamterene,triamterene,1
Trientine hydrochloride,trientine,0
Triheptanoin,triheptanoin,0
Trihexyphenidyl hydrochloride,trihexyphenidyl,0
Trimethoprim,trimethoprim,1
Triprolidine hydrochloride,triprolidine,0
Triptorelin pamoate,triptorelin pamoate,1
Trospium chloride,trospium,0
Trovafloxacin mesylate,trovafloxacin,1
Tyramine,tyramine,0
Ubrogepant,ubrogepant,0
Ulipristal acetate,ulipristal,1
Umeclidinium bromide,umeclidinium,0
Uridine triacetate,uridine triacetate,0
Urofollitropin,urofollitropin,0
Ustekinumab,ustekinumab,1
Valaciclovir,valaciclovir,1
Valdecoxib,valdecoxib,1
Valsartan,valsartan,1
Vancomycin hydrochloride,vancomycin,1
Varenicline tartrate,varenicline,1
Vecuronium bromide,vecuronium,0
Vemurafenib,vemurafenib,1
Venetoclax,venetoclax,1
Venlafaxine hydrochloride,venlafaxine,1
Vericiguat,vericiguat,0
Vibegron,vibegron,0
Vilazodone hydrochloride,vilazodone,0
Viltolarsen,viltolarsen,0
Vincristine sulfate,vincristine,1
Vitamin A palmitate,vitamin a palmitate,1
Vitamin C,vitamin c,0
Vorapaxar sulfate,vorapaxar,0
Voriconazole,voriconazole,1
Vortioxetine hydrobromide,vortioxetine hydrobromide,1
Vosoritide,vosoritide,0
Voxelotor,voxelotor,0
Warfarin sodium,warfarin,1
Xenazoic acid,xenazoic acid,1
Ximelagatran,ximelagatran,1
Zafirlukast,zafirlukast,1
Zaleplon,zaleplon,0
Zidovudine,zidovudine,1
Zileuton,zileuton,1
Zimelidine,zimelidine,1
Zoledronic acid,zoledronic acid,1
