Model,N,Features,AUC,PR-AUC,Lift
Tier 1 (All),901,Chemistry,0.7256839994270162,0.7637120688258038,0.0
Tier 2a (Expanded),456,Chemistry,0.635435891868418,0.7690493167579866,0.0
Tier 2a (Expanded),456,Chem + Decomposed ECNP,0.6356313103897514,0.7731971880411175,0.00019541852133342363
Tier 2b (Curated),202,Chemistry,0.8705627705627706,0.8970710287188713,0.0
Tier 2b (Curated),202,Chem + Decomposed ECNP,0.8748917748917748,0.9027791968491476,0.004329004329004182
