model,auc,drop
Full (ECFP + Tabular + ECNP),0.878030303030303,0.0
Without ECFP (Tabular only),0.8167748917748917,-0.06125541125541134
Without ECNP,0.8629870129870131,-0.01504329004328997
Without Tabular (ECFP only),0.858008658008658,-0.02002164502164505
Without LogP,0.8604978354978355,-0.01753246753246751
