compound,n_dili_positive_refs,n_dili_negative_refs,mean_sim_DILI_positive,max_sim_DILI_positive,std_sim_DILI_positive,mean_sim_DILI_negative,max_sim_DILI_negative,std_sim_DILI_negative,structural_analog_to_hepatotoxins
Hyperforin,542,365,0.08932301365348533,0.1694915254237288,0.02916558153721811,0.09110350958346312,0.2125,0.03174943515843263,No
Quercetin,542,365,0.07832665961292806,0.21153846153846154,0.030632595005618744,0.06969130512192939,0.22,0.03428765777232909,No
