Compound,Network,Targets,dc_Z,dc_p,dc_Sig,RWR_Z,RWR_p,RWR_Sig
Hyperforin,STRING>=900,8,-0.9924147619603383,0.3209952408053758,False,6.35393535379961,4.1975001252581023e-10,True
Quercetin,STRING>=900,63,-5.132153323238625,1.1457840161099853e-06,True,4.977779166428888,4.287865172554935e-07,True
Hyperforin,STRING>=700,8,-1.7989797458772716,0.09602917955023098,False,5.4310572135534665,5.60211685929346e-08,True
Quercetin,STRING>=700,63,-4.544902909539075,1.0992116369568095e-05,True,4.260365262684308,1.0204654418699555e-05,True
