Compound,Network,Targets,Z_score,P_value_FDR,Influence_per_target
Hyperforin,STRING>=900,8,6.35393535379961,4.1975001252581023e-10,0.0116949193122379
Quercetin,STRING>=900,63,4.977779166428888,4.287865172554935e-07,0.00046936296441726347
Hyperforin,STRING>=700,8,5.4310572135534665,5.60211685929346e-08,0.011536338560843976
Quercetin,STRING>=700,63,4.260365262684308,1.0204654418699556e-05,0.0004216810336359254
