threshold,compound,n_targets,dc_obs,dc_z,dc_p,rwr_influence,rwr_per_target,rwr_z,rwr_p,dc_p_fdr,rwr_p_fdr,dc_sig,rwr_sig
900,Hyperforin,8,2.25,-0.9924147619603383,0.3209952408053758,0.09355935449790329,0.01169491931223791,6.35393535379961,1.0493750313145256e-10,0.3209952408053758,4.1975001252581023e-10,False,True
900,Quercetin,63,2.0793650793650795,-5.132153323238625,2.864460040274963e-07,0.02956986675828765,0.00046936296441726433,4.977779166428888,3.2158988794162013e-07,1.1457840161099853e-06,4.287865172554935e-07,True,True
700,Hyperforin,8,1.5,-1.7989797458772716,0.07202188466267323,0.09229070848675183,0.011536338560843979,5.4310572135534665,2.80105842964673e-08,0.09602917955023098,5.60211685929346e-08,False,True
700,Quercetin,63,1.6825396825396826,-4.544902909539075,5.496058184784047e-06,0.026565905119063368,0.0004216810336359265,4.260365262684308,1.0204654418699555e-05,1.0992116369568095e-05,1.0204654418699555e-05,True,True
