network_threshold,compound,n_targets,observed_influence,null_mean,null_std,z_score,p_value,p_fdr,significant
700,Hyperforin,10,0.12116393973846232,0.017655982801802833,0.00949634931302056,10.899763006267941,1e-16,2e-16,True
700,Quercetin,62,0.03262162725393586,0.01603445705498284,0.003213252298367868,5.162112607023815,1.2208916166933648e-07,1.2208916166933648e-07,True
900,Hyperforin,10,0.11380974516807538,0.014170151658919505,0.009704956534622194,10.2668768431568,1e-16,2e-16,True
900,Quercetin,62,0.03217130008281201,0.01471056859459476,0.003950068162976505,4.420362071691446,4.9267831270238815e-06,4.9267831270238815e-06,True
