network_threshold,compound,n_targets,mean_target_tpm,observed_influence,null_mean,null_std,z_score,p_value,p_fdr,significant
700,Hyperforin,10,104.716272,0.14487468144653934,0.023801832934199654,0.010806984943057246,11.203203219980496,1e-16,2e-16,True
700,Quercetin,62,49.52862919354838,0.051108933898610126,0.023258999352333744,0.003930680492958281,7.085270501168657,6.938893903907228e-13,6.938893903907228e-13,True
900,Hyperforin,10,104.716272,0.1329740928873287,0.02051200983439195,0.012517767350128186,8.984196614884771,1e-16,2e-16,True
900,Quercetin,62,49.52862919354838,0.049344208966147225,0.02085331619353536,0.004922195007007936,5.788249496829805,3.5561857902877136e-09,3.5561857902877136e-09,True
