network_threshold,compound,n_targets,observed_dc,null_mean,null_std,z_score,p_value,p_fdr,significant
700,Hyperforin,10,0.6,1.5787,0.16197626369317203,-6.0422433366775845,1e-16,1e-16,True
700,Quercetin,62,1.3387096774193548,1.7067258064516129,0.06744464527965924,-5.45656556582482,1e-16,1e-16,True
900,Hyperforin,10,1.3,2.2086000000000006,0.2352998937526322,-3.8614552072649904,1e-16,1e-16,True
900,Quercetin,62,1.6774193548387097,2.174903225806452,0.09144416536779534,-5.440301947826024,1e-16,1e-16,True
