compound,metric,n_targets,observed,z_score,p_value,efficiency,significant
Hyperforin,RWI,10.0,0.1138,10.12,1e-16,0.1138,True
Quercetin,RWI,62.0,0.0322,4.55,2.645e-06,0.0322,True
Hyperforin,EWI,10.0,0.1330,8.98,1e-16,0.1330,True
Quercetin,EWI,62.0,0.0493,5.79,3.556e-09,0.0493,True
Hyperforin,Shortest_Path,10.0,1.3,-3.86,1e-16,,True
Quercetin,Shortest_Path,62.0,1.68,-5.44,1e-16,,True
Hyperforin,Bootstrap,10.0,0.1138,,,,True
Hyperforin,Chemical_Sim,,0.154,,,,True
Quercetin,Chemical_Sim,,0.212,,,,True
