gene_name,disease
LDLR,cvd
APOB,cvd
PCSK9,cvd
APOE,cvd
APOA1,cvd
CETP,cvd
LIPC,cvd
ABCA1,cvd
ABCG5,cvd
ABCG8,cvd
NPC1L1,cvd
HMGCR,cvd
ANGPTL3,cvd
ANGPTL4,cvd
LPA,cvd
SORT1,cvd
MRAS,cvd
WDR12,cvd
ZC3HC1,cvd
EDNRA,cvd
MIA3,cvd
SMAD3,cvd
COL4A1,cvd
COL4A2,cvd
FN1,cvd
VAMP5,cvd
VAMP8,cvd
GGCX,cvd
PROCR,cvd
F2,cvd
F5,cvd
F7,cvd
F10,cvd
SERPINC1,cvd
PROS1,cvd
PROC,cvd
PLG,cvd
FGA,cvd
FGB,cvd
