fpr,tpr,threshold
0.0,0.0,inf
0.0,0.007575757575757576,7.342381526134787
0.0,0.015151515151515152,7.280382696030164
0.014285714285714285,0.015151515151515152,6.221586620808898
0.014285714285714285,0.11363636363636363,3.3439743765072203
0.02857142857142857,0.11363636363636363,3.2202157531822104
0.02857142857142857,0.12878787878787878,3.1617557729122137
0.04285714285714286,0.12878787878787878,2.8308392317884685
0.04285714285714286,0.13636363636363635,2.726313338278568
0.05714285714285714,0.13636363636363635,2.592910904404679
0.05714285714285714,0.18181818181818182,1.924041418404765
0.07142857142857142,0.18181818181818182,1.9199183038445133
0.07142857142857142,0.21212121212121213,1.6728145851338905
0.08571428571428572,0.21212121212121213,1.6693250477055408
0.08571428571428572,0.25,1.2570422170208162
0.1,0.25,1.2312004900215459
0.1,0.25757575757575757,1.2115867746751379
0.11428571428571428,0.25757575757575757,1.2010143263289845
0.11428571428571428,0.30303030303030304,1.0379192138462627
0.12857142857142856,0.30303030303030304,1.0213340923855172
0.12857142857142856,0.3939393939393939,0.6953461284973982
0.14285714285714285,0.3939393939393939,0.6616457078715641
0.14285714285714285,0.4015151515151515,0.6412102694473067
0.15714285714285714,0.4015151515151515,0.6128090625657202
0.15714285714285714,0.4166666666666667,0.6058452998387699
0.17142857142857143,0.4166666666666667,0.5991449064974206
0.17142857142857143,0.4393939393939394,0.48508335589364693
0.18571428571428572,0.4393939393939394,0.4776076430707365
0.18571428571428572,0.45454545454545453,0.45278826747346196
0.2,0.45454545454545453,0.441946121561886
0.2,0.4621212121212121,0.4283613401692558
0.21428571428571427,0.4621212121212121,0.4158095390237908
0.21428571428571427,0.48484848484848486,0.34649956584575986
0.22857142857142856,0.48484848484848486,0.21778669677969187
0.22857142857142856,0.49242424242424243,0.1908604542089794
0.2714285714285714,0.49242424242424243,0.1583474321869798
0.2714285714285714,0.5075757575757576,0.10961698734321144
0.2857142857142857,0.5075757575757576,0.10500434096478377
0.2857142857142857,0.5303030303030303,0.06895277646974723
0.32857142857142857,0.5303030303030303,0.06018723670067295
0.32857142857142857,0.5378787878787878,0.05910329570750489
0.37142857142857144,0.5378787878787878,0.05339297529895901
0.37142857142857144,0.5454545454545454,0.04371611123031414
0.38571428571428573,0.553030303030303,0.04072292791349318
0.4,0.553030303030303,0.03535062426447365
0.4,0.5681818181818182,0.026010436750755834
0.44285714285714284,0.5757575757575758,0.024204508221071227
0.44285714285714284,0.5833333333333334,0.020986010229835872
0.4714285714285714,0.5833333333333334,0.016923892083079334
0.4714285714285714,0.5909090909090909,0.012892509273814554
0.4857142857142857,0.5909090909090909,0.01075639646976189
0.4857142857142857,0.5984848484848485,0.010255281829308313
0.5,0.5984848484848485,0.009442724863262648
0.5,0.6060606060606061,0.008206380539052607
0.5142857142857142,0.6060606060606061,0.007515898983744757
0.5142857142857142,0.6212121212121212,0.005634124263032337
0.5428571428571428,0.6212121212121212,0.0019981265450498696
0.5428571428571428,0.6363636363636364,0.0012808256518554238
0.5428571428571428,0.6742424242424242,-0.002670790108699019
0.5428571428571428,0.6893939393939394,-0.00267079010869902
0.5428571428571428,0.696969696969697,-0.003742612015088071
0.5857142857142857,0.696969696969697,-0.0068609643419131
0.5857142857142857,0.7272727272727273,-0.011939610082782255
0.6,0.7272727272727273,-0.011966424914545274
0.6,0.7348484848484849,-0.012518296971260523
0.6285714285714286,0.7348484848484849,-0.01814565200188829
0.6285714285714286,0.75,-0.028224529912865844
0.6714285714285714,0.75,-0.03459989620097816
0.6714285714285714,0.7575757575757576,-0.03739330265848838
0.7,0.7575757575757576,-0.045407679859928246
0.7,0.7651515151515151,-0.04563052332858474
0.7142857142857143,0.7651515151515151,-0.05268282254773352
0.7428571428571429,0.7651515151515151,-0.054380016221758344
0.7428571428571429,0.7727272727272727,-0.0693073518049592
0.7428571428571429,0.7878787878787878,-0.08132224717986206
0.7428571428571429,0.803030303030303,-0.1178273795838717
0.7571428571428571,0.803030303030303,-0.12659816677879623
0.7571428571428571,0.8106060606060606,-0.12801035136470904
0.7714285714285715,0.8106060606060606,-0.13607234873675797
0.7714285714285715,0.8181818181818182,-0.14357942161122483
0.7857142857142857,0.8181818181818182,-0.1539015617186342
0.7857142857142857,0.8484848484848485,-0.19261195868701872
0.8,0.8484848484848485,-0.1964392146564791
0.8285714285714286,0.8484848484848485,-0.20068788212224664
0.8285714285714286,0.8636363636363636,-0.20554571384287787
0.8285714285714286,0.8712121212121212,-0.21513535235196282
0.8428571428571429,0.8712121212121212,-0.22615719516302318
0.8428571428571429,0.8787878787878788,-0.23119890539894536
0.8571428571428571,0.8787878787878788,-0.2369210061436668
0.8571428571428571,0.9545454545454546,-0.3613267959605603
0.8857142857142857,0.9545454545454546,-0.3949442494698393
0.8857142857142857,0.9696969696969697,-0.4629229936251701
0.9,0.9696969696969697,-0.49720118023828586
0.9,0.9772727272727273,-0.5249799071585319
0.9142857142857143,0.9772727272727273,-0.5513727193331183
0.9142857142857143,0.9848484848484849,-0.5824222955480198
0.9428571428571428,0.9848484848484849,-0.7994249701482159
0.9714285714285714,0.9848484848484849,-0.8788607209870926
1.0,0.9848484848484849,-1.2266445854326016
1.0,1.0,-1.9590203520896825
