fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03333333333333333,4.996766241496655
0.0,0.26666666666666666,3.1617557729122137
0.1111111111111111,0.26666666666666666,2.9547881830709155
0.1111111111111111,0.4,1.748022730414196
0.2222222222222222,0.4,1.5604968919779756
0.2222222222222222,0.5666666666666667,0.926684687723624
0.3333333333333333,0.5666666666666667,0.9214189286076707
0.3333333333333333,0.6,0.6412102694473067
0.5555555555555556,0.6,0.4283613401692558
0.5555555555555556,0.6333333333333333,0.34649956584575986
0.6666666666666666,0.6333333333333333,0.0019981265450498696
0.6666666666666666,0.7,-0.004732043808638249
0.7777777777777778,0.7,-0.008942866717544616
0.7777777777777778,0.7666666666666667,-0.03739330265848838
0.7777777777777778,0.8333333333333334,-0.08132224717986206
0.7777777777777778,0.8666666666666667,-0.14357942161122483
0.8888888888888888,0.8666666666666667,-0.1539015617186342
0.8888888888888888,0.9333333333333333,-0.3613267959605603
1.0,0.9333333333333333,-0.4629229936251701
1.0,1.0,-1.9590203520896825
