drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size
DB01083,Orlistat,Orlistat,3,vMost-DILI-concern,1,-0.19261195868701872,0.0651238436367453,0.08532294750608503,506
DB01097,Leflunomide,Leflunomide,3,vMost-DILI-concern,1,3.1617557729122137,0.2279502379866373,0.10313473355464967,451
DB01109,Heparin,Heparin sodium,6,vLess-DILI-concern,1,0.45278826747346196,0.2466113961311704,0.20464940314964605,1016
DB01110,Miconazole,Itraconazole,3,vMost-DILI-concern,1,3.6458598303312955,0.23648888792896222,0.07682095253787097,261
DB01115,Nifedipine,Nifedipine,3,vLess-DILI-concern,1,3.16632157744817,0.2198180944902292,0.05272378250443722,239
DB01118,Amiodarone,Amiodarone hydrochloride,3,vMost-DILI-concern,1,0.926684687723624,0.2291727449394077,0.14067894545078682,369
DB01126,Dutasteride,Dutasteride,3,vNo-DILI-concern,0,-0.2369210061436668,0.14748770675241352,0.18168805995190718,223
DB01136,Carvedilol,Carvedilol,11,vLess-DILI-concern,1,-0.3585739761728932,0.15791123213477778,0.19685469245269863,1252
DB01162,Terazosin,Terazosin hydrochloride,3,vNo-DILI-concern,0,-0.039230135681745,0.0564696297085755,0.06069830179752627,337
DB01183,Naloxone,Naloxone hydrochloride,4,vNo-DILI-concern,0,-0.016725121475909786,0.177614648200437,0.17883335525014118,280
DB01197,Captopril,Captopril,3,vLess-DILI-concern,1,1.2115867746751379,0.3377924273781587,0.23610779004785243,257
DB01213,Fomepizole,Omeprazole,4,vLess-DILI-concern,1,0.7805029683477802,0.35109636293011337,0.2695187892298367,368
DB01216,Finasteride,Finasteride,4,vLess-DILI-concern,1,-0.33270253277087714,0.2101342919369129,0.2579328937647478,304
DB01225,Enoxaparin,Enoxaparin sodium,3,vLess-DILI-concern,1,0.4283613401692558,0.2800550362127195,0.21935484809198663,331
DB01238,Aripiprazole,Aripiprazole,4,vLess-DILI-concern,1,0.024204508221071227,0.0499660371507879,0.04691281421563121,470
DB01241,Gemfibrozil,Gemfibrozil,3,vMost-DILI-concern,1,1.308609159800118,0.34149934654198544,0.22500398090727777,365
DB01254,Dasatinib,Dasatinib,19,vLess-DILI-concern,1,0.08151187623142642,0.241151461193722,0.23176146428555716,1859
DB01259,Lapatinib,Capmatinib hydrochloride,3,vLess-DILI-concern,1,0.12271504147826658,0.0464086081670729,0.03152972294034173,256
DB01262,Decitabine,Gemcitabine hydrochloride,3,vMost-DILI-concern,1,-0.028224529912865844,0.0317582483093522,0.0352419508729232,215
DB01267,Paliperidone,Paliperidone,3,vLess-DILI-concern,1,-0.002670790108699019,0.0401407873989792,0.04051756846367185,244
DB01275,Hydralazine,Hydralazine hydrochloride,3,vLess-DILI-concern,1,-0.3042304366596409,0.061481324607169804,0.07919227540953713,453
DB01278,Pramlintide,Pramlintide acetate,3,vNo-DILI-concern,0,-0.004168802761608253,0.0214068632609637,0.0219566947593822,384
DB01280,Nelarabine,Nelarabine,4,vLess-DILI-concern,1,0.0265103991249973,0.055072083590815696,0.05216661775895567,484
DB01373,Calcium,Calcium acetate,12,vNo-DILI-concern,0,0.5991449064974206,0.32437881949260083,0.2772183694068044,1808
DB01380,Cortisone acetate,Cortisone acetate,3,vNo-DILI-concern,0,-0.3949442494698393,0.07749374772803591,0.11057125152284789,531
DB01396,Digitoxin,Digoxin,4,vNo-DILI-concern,0,0.0019981265450498696,0.0288441453267431,0.0285623850995487,264
DB01406,Danazol,Danazol,3,vMost-DILI-concern,1,1.1785952866975673,0.2621738211874455,0.16237738470588542,296
DB01429,Aprindine,Arginine hydrochloride,4,vNo-DILI-concern,0,-0.0068609643419131,0.03397716433285081,0.034938498527635364,152
DB01472,4-Methoxyamphetamine,Methamphetamine hydrochloride,3,vNo-DILI-concern,0,0.04072292791349318,0.0895055440538364,0.08589874607822531,350
DB01577,Metamfetamine,Methamphetamine hydrochloride,4,vNo-DILI-concern,0,-0.12659816677879623,0.10321618337118321,0.11433089695308671,353
DB01586,Ursodeoxycholic acid,Deoxycholic acid,3,vNo-DILI-concern,0,2.8308392317884685,0.3705551596614105,0.2319733092330972,318
DB01708,Prasterone,Progesterone,7,vLess-DILI-concern,1,7.342381526134787,0.7066959679297662,0.278434132446711,690
DB01812,"Adenosine 3',5'-diphosphate",Adenosine,3,vNo-DILI-concern,0,0.01075639646976189,0.1539079215499771,0.1528781649830577,379
DB01942,Formic acid,Folic acid,9,vNo-DILI-concern,0,1.9199183038445133,0.31396201211786934,0.17018656710870594,1182
DB02266,Flufenamic acid,Mefenamic acid,5,vMost-DILI-concern,1,3.4927574480260537,0.5293303748141275,0.2963846551113775,318
DB02383,Tolrestat,Tolrestat,4,vMost-DILI-concern,1,-0.1178273795838717,0.07423031115107281,0.08878820996595403,658
DB02546,Vorinostat,Vorinostat,6,vNo-DILI-concern,0,0.054219077521317334,0.0529831436663484,0.04570604662160271,461
DB02659,Cholic Acid,Folic acid,17,vNo-DILI-concern,0,-1.2266445854326016,0.4191507198833699,0.5589746795848047,1067
DB03366,Imidazole,Tinidazole,5,vLess-DILI-concern,1,0.7489778154404158,0.1411733298641893,0.0875046782741898,636
DB03435,Uridine-5'-Diphosphate,Uridine triacetate,8,vNo-DILI-concern,0,-0.05268282254773352,0.0754627041217941,0.08059774158817305,781
DB03600,Capric acid,Valproic acid,3,vMost-DILI-concern,1,-0.04563052332858474,0.0580105323548704,0.06135961340143862,303
DB03619,Deoxycholic acid,Deoxycholic acid,5,vNo-DILI-concern,0,6.221586620808898,0.5642404195017421,0.2815481052986136,493
DB04005,Uridine 5'-triphosphate,Uridine triacetate,3,vNo-DILI-concern,0,-0.045407679859928246,0.030459041611884903,0.034070598879060526,471
DB04224,Oleic Acid,Folic acid,6,vNo-DILI-concern,0,0.4776076430707365,0.3913829156488327,0.33580704488490243,445
DB04465,Lactose,Lactulose,3,vNo-DILI-concern,0,1.6693250477055408,0.20884376888155398,0.11127386636727035,430
DB04468,Afimoxifene,Tamoxifen citrate,4,vMost-DILI-concern,1,4.765865253506153,0.4442921263482613,0.1924115079270953,279
