compound,metric,observed,z_score,p_value,p_fdr,significant
Hyperforin,d_c,1.4444444444444444,-2.976325649002068,0.0029172490722257916,0.003889665429634389,True
Hyperforin,RWR,0.257924410916791,9.575297670488931,0.0,0.0,True
Quercetin,d_c,1.6774193548387097,-5.29341527681052,1.2005287408634047e-07,2.4010574817268093e-07,True
Quercetin,RWR,0.02271284254907943,1.0591752097504437,0.14475999641513715,0.14475999641513715,False
