iteration,quercetin_sampled_influence
0,0.0024395804396330186
1,0.0009686749256468239
2,0.08326625841595801
3,0.001691292230331715
4,0.0012656373552519904
5,0.0032994013885558424
6,0.0018983355328053223
7,0.001494800608524527
8,0.000404557343809486
9,0.002390450872805647
10,0.08421988575119534
11,0.003881930400546802
12,0.002965693950539305
13,0.0021181194649374
14,0.006908669629236118
15,0.08248825785946512
16,0.08497441977171141
17,0.0013944623445381035
18,0.0033134011324362244
19,0.0020640658957991223
20,0.08289760583197617
21,0.0025386161429953743
22,0.0019265249103491274
23,0.0068109713046805125
24,0.0048964343763524786
25,0.09085629911321215
26,0.16573015356724416
27,0.0028233798236009426
28,0.08312950849541549
29,0.00254855346489193
30,0.0008500913084108929
31,0.0021996231089924383
32,0.00046335699420528234
33,0.007461641582115151
34,0.0003614519743288072
35,0.002007396793655487
36,0.0875952794373521
37,0.004927825759505371
38,0.0012497151628763482
39,0.0016195508048528725
40,0.0884354850071354
41,0.007290561140118602
42,0.00258901358844277
43,0.0017793239143161282
44,0.004490396692372168
45,0.005376722747856946
46,0.004714645452359829
47,0.08376670162079601
48,0.0015879998367519606
49,0.0006445656063592418
50,0.003201280963832573
51,0.08421663788831941
52,0.0016484407536841938
53,0.0016134478019135515
54,0.004144383413319939
55,0.00358931629002464
56,0.0026249864639383315
57,0.00345953215415062
58,0.0024506454095694625
59,0.08507083743687463
60,0.08212974351009225
61,0.005946678363222809
62,0.00699871900360246
63,0.004521009633878497
64,0.08412107345228093
65,0.08276552488306774
66,0.08775327755282694
67,0.08911300284455999
68,0.0036388446871105577
69,0.08614056093454832
70,0.08229442020526016
71,0.004411209667559986
72,0.00024120489362316843
73,0.0019967864351976643
74,0.003764458508859596
75,0.00856830087115165
76,0.0030172448429130545
77,0.002529086763853541
78,0.08289983322533943
79,0.0047086333045951384
80,0.005447375538763535
81,0.002912941593261815
82,0.003751546174203158
83,0.08679188301247426
84,0.0855449959935349
85,0.08709986291785772
86,0.08184086477429223
87,0.08643379279597119
88,0.002734754826360282
89,0.08420307391931858
90,0.08419085164957872
91,0.0055190859750918995
92,0.002871460130971921
93,0.005432028898355187
94,0.08350059900890155
95,0.0824573444710483
96,0.002051142205330188
97,0.08257811996013122
98,0.008377284338575207
99,0.08417973832875343
