compound,metric,observed,z_score,p_value,p_fdr,significant
Hyperforin,d_c,0.6666666666666666,-5.003185866402991,5.639052302885972e-07,7.518736403847962e-07,True
Hyperforin,RWR,0.2689299585438572,6.488069490944472,4.347155968531524e-11,1.7388623874126097e-10,True
Quercetin,d_c,1.3387096774193548,-5.389687755395073,7.058020656813824e-08,1.4116041313627647e-07,True
Quercetin,RWR,0.025533177751311247,0.9808805187591348,0.16332583270620704,0.16332583270620704,False
