compound,n_targets,mean_target_tpm,influence_standard,influence_weighted,per_target_standard,per_target_weighted
Hyperforin,12,86.69,0.073399,0.095457,0.006117,0.007955
Quercetin,80,38.59,0.023662,0.047541,0.000296,0.000594
