gene,dili_influence
A1BG,0.010686760805562821
A2M,0.110384391006091
A4GALT,0.004805569625068165
AAAS,0.001422141269445645
AACS,0.006340071060565651
AADAT,0.017238166677983963
AAGAB,0.008591996015290789
AAK1,0.007872659106049016
AAMP,0.010538129435721369
AAR2,0.0015258859202159259
AARS2,0.0029723357079941863
AASDH,0.014696134200671254
AASDHPPT,0.009857260732476635
AASS,0.013859547203058951
AATF,0.0024862062171925065
ABAT,0.019592400483635586
ABCA1,0.09656264609309731
ABCA2,0.0398557065211399
ABCA7,0.2477999096122669
ABCB1,0.2181327396147365
ABCB10,0.022416332339130006
ABCB11,0.06793152938727123
ABCB4,0.013874349740330747
ABCB6,0.0398557065211399
ABCB7,0.01901468454029423
ABCC1,0.0017161243143367963
ABCC2,0.000970567371513375
ABCC3,0.03469772889813052
ABCC5,0.0024616812571602205
ABCC6,0.07127550344225282
ABCC9,0.006093863029920096
ABCD1,0.013935686250435465
ABCD3,0.011670309840924929
ABCD4,0.03572539792805925
ABCE1,0.0031935323872063393
ABCF1,0.0034281669867879633
ABCF2,0.002714502529125386
ABCF3,0.003843376929982553
ABCG1,0.21473157003863788
ABCG2,0.0011418439664863233
ABCG5,0.0550560740317201
ABCG8,0.056919087500915524
ABHD12,0.006977364594827715
ABHD5,0.021226190092274912
ABHD6,0.008208664229209075
ABI1,0.006411538991457888
ABI2,0.006370109969054126
ABI3,0.0050118634373852375
ABL1,0.014151272887039488
ABL2,0.008973364051877647
ABLIM1,0.008255635867163212
ABLIM3,0.008255635867163212
ABT1,0.00185753201653196
ACAA1,0.008555240032110459
ACAA2,0.007416979084701864
ACACA,0.010284016473451046
ACACB,0.010664865408262317
ACAD11,0.0033928557191175556
ACAD8,0.006558648765115659
ACAD9,0.001996414826924143
ACADL,0.007316042042993459
ACADM,0.005499339956347773
ACADS,0.00786551980582608
ACADSB,0.007104561855705891
ACADVL,0.007464486764680991
ACAP1,0.004989906023825642
ACAP2,0.003859806430114723
ACAT1,0.00793561343298729
ACAT2,0.008149144549742197
ACBD3,0.012306128672830029
ACBD4,0.0032130467627470545
ACBD5,0.0032130467627470545
ACD,0.008373806934329228
ACER3,0.005620943885562747
ACHE,0.029110352554306506
ACIN1,0.002345908118770431
ACKR2,0.08312634145411668
ACKR3,0.04418741727666324
ACLY,0.011797339176750011
ACMSD,0.04446739890230667
ACO1,0.013318436972238489
ACO2,0.01083436167400591
ACOT1,0.0276985841219959
ACOT12,0.01277658267845487
ACOT13,0.0028214224931503266
ACOT2,0.027698584121995894
ACOT4,0.028469636507832713
ACOT7,0.020645190391134827
ACOT8,0.023651433084121515
ACOX1,0.014758223192156136
ACOX2,0.012201545139379906
ACOX3,0.009141770967377928
ACP5,0.023753375753686398
ACSF2,0.0025668928255004357
ACSF3,0.01585377453363744
ACSL1,0.015705511972869145
ACSL3,0.015705511972869145
ACSL4,0.015202995322958011
ACSL5,0.015705511972869148
ACSM1,0.006611067904991776
ACSM2A,0.005813645073871454
ACSM2B,0.005813645073871454
ACSM3,0.006685691834952169
ACSM5,0.006685691834952169
ACSS1,0.011949132996210112
ACSS2,0.011610062752789306
ACSS3,0.009333849818271768
ACTA1,0.010382689210158553
ACTA2,0.03000574043324947
ACTB,0.008288312272853947
ACTG1,0.009065337567709116
ACTG2,0.009276552868079367
ACTL6A,0.004508776852877428
ACTN1,0.011065524855423843
ACTN4,0.010912139591179095
ACTR10,0.0027492433314392378
ACTR1A,0.0027027222390400333
ACTR1B,0.002412179683633476
ACTR2,0.007015398170266971
ACTR3,0.0067045398189438995
ACTR3B,0.006209429829529214
ACTR3C,0.006772803307600747
ACTR5,0.004210724926122817
ACTR6,0.004609776803953579
ACTR8,0.004358681334956648
ACVR1,0.009718779023737988
ACVR1B,0.010026794944212738
ACVR2A,0.010258568257366301
ACVR2B,0.010194209849873332
ACVRL1,0.012325214933816173
ACY1,0.06794141932044064
ACYP1,0.01517013896022593
ACYP2,0.01517013896022593
ADA,0.026915363573297584
ADAM10,0.01720790074384964
ADAM15,0.021391186686348224
ADAM17,0.018616726919062698
ADAM9,0.024223431292078285
ADAMTS10,0.03321627272457935
ADAMTS13,0.04893861693336453
ADAMTS2,0.03605869517244231
ADAMTSL2,0.02557833251467112
ADAMTSL4,0.03321627272457935
ADAP1,0.007869293940345405
ADAR,0.008099666170942429
ADCY1,0.010125907295252925
ADCY10,0.011861863475380202
ADCY3,0.009584293546557963
ADCY4,0.009630734974233866
ADCY5,0.010173417264689425
ADCY6,0.009304279093226883
ADCY9,0.010384478502715913
ADD1,0.007877983537775213
ADD3,0.007864493335342065
ADGRA2,0.021032383275919764
ADGRD1,0.005652872211584572
ADGRE5,0.04928090162227647
ADGRG1,0.012068447243560107
ADGRG3,0.008991454774503005
ADGRL2,0.011213561057045667
ADH1A,0.0498177518213563
ADH1B,0.0498177518213563
ADH1C,0.0498177518213563
ADH4,0.050967392248002966
ADH5,0.04923734762185517
ADH6,0.04923734762185517
ADI1,0.024280801059937466
ADIPOR1,0.03648256957261465
ADIPOR2,0.06737838526102424
ADK,0.01912277187512173
ADM,0.00557832805109113
ADM2,0.005759296101534635
ADNP,0.005075615811736195
ADO,0.025928813585895445
ADORA2A,0.012522875178561942
ADPGK,0.0472746770183692
ADPRM,0.013313438277608804
ADRA1A,0.013215074040816283
ADRA1B,0.013215074040816283
ADRA2B,0.013710639317346895
ADRB2,0.009825249751808724
ADRM1,0.003044579712743416
ADSL,0.014201861252117545
AEBP2,0.003336235179050926
AFDN,0.009488706709334861
AFF1,0.0036826906758619196
AFF4,0.0035623471719939486
AFG3L2,0.006174640420753489
AFMID,0.023477440596790692
AFP,0.13605597661707763
AFTPH,0.010490309287127499
AGAP1,0.00590705936239929
AGER,0.028793847492918138
AGFG1,0.004328227803759498
AGK,0.01779640734853386
AGL,0.011853651171063464
AGMAT,0.020977504417819006
AGMO,0.01772994560036367
AGO1,0.0038512757106641403
AGO2,0.003412980163319303
AGO3,0.0026652526298050795
AGO4,0.0028117665439525183
AGPAT1,0.009883438917233882
AGPAT2,0.009992197777973994
AGPAT3,0.009707056841159998
AGPAT5,0.01062062317404484
AGPS,0.008338899152223606
AGRN,0.022812317123345017
AGT,0.026584272419910987
AGTR1,0.03488240212004275
AGTRAP,0.02965004180203635
AGXT,0.025175059619446827
AGXT2,0.0337993995757382
AHCTF1,0.0013870541267963124
AHCY,0.01821108709263892
AHCYL1,0.017144841669493444
AHCYL2,0.01821108709263892
AHI1,0.04998042596513346
AHNAK,0.03451329021031573
AHR,0.19693736779313015
AHSA1,0.010434497587110928
AHSG,0.1533536249779659
AIF1,0.01245788945582528
AIFM1,0.06259649460818818
AIFM2,0.013015526031851216
AIMP1,0.0027130711522788207
AIMP2,0.002728504826192998
AIP,0.04422785739408769
AJUBA,0.004831599659972796
AK1,0.01674328439690259
AK2,0.01609984055826146
AK3,0.013755739960142236
AK4,0.016099840558261462
AK6,0.014935505356220456
AKAP1,0.010708228458426384
AKAP10,0.013461268834618224
AKAP11,0.015395537705789827
AKAP12,0.010187312416680914
AKAP13,0.011320284655638835
AKAP7,0.011786128021112317
AKAP8,0.009101994189662422
AKAP8L,0.005906946758523574
AKAP9,0.00893222056205887
AKIRIN2,0.0037280285871455526
AKR1A1,0.024423326796334625
AKR1B1,0.01973510607594146
AKR1B10,0.020127498033995536
AKR1C1,0.0813040979312543
AKR1C2,0.0796371013665399
AKR1C3,0.0652016314953509
AKR1C4,0.06873180365672071
AKR1D1,0.06264658518449946
AKR7A2,0.013130990344070637
AKR7A3,0.011161341792460045
AKT1,0.016434159257019652
AKT1S1,0.01080189522197792
AKT2,0.013855517916306603
AKT3,0.013826731796384084
AKTIP,0.0024238286263643656
ALAD,0.01648093643852445
ALAS1,0.019261350452803326
ALB,0.2855195830762597
ALCAM,0.007692934288155554
ALDH16A1,0.033234611937604394
ALDH18A1,0.016103740928840003
ALDH1A1,0.0657372842408656
ALDH1A2,0.07162251124014343
ALDH1B1,0.022202672996436395
ALDH1L1,0.017409798905819118
ALDH2,0.024730277727987478
ALDH3A2,0.020858759529839607
ALDH3B1,0.034686891856257736
ALDH4A1,0.017488413195018534
ALDH5A1,0.012655685482780059
