gene,dili_influence
A1BG,0.0009785263963903849
A2M,0.10621716338197364
A4GALT,0.0015213900685784472
AAAS,0.00157363707424839
AACS,0.0036878925267463157
AADAT,0.01217280562329421
AAGAB,0.0004316628752066285
AAK1,0.002050552895622656
AAMP,0.0007450247059764726
AAR2,0.000717131792827399
AARS2,0.0010690171890851013
AASDH,0.012203550171681989
AASDHPPT,0.0021635256649789373
AASS,0.002665459018003376
AATF,0.004476557971562008
ABAT,0.01539199512047974
ABCA1,0.050001474468346116
ABCA2,0.01077963801052601
ABCA7,0.00939478473802264
ABCB1,0.15884895981546854
ABCB10,0.004822121860967442
ABCB11,0.031660003185719536
ABCB4,0.0012929928494203823
ABCB6,0.010789192309371946
ABCB7,0.0023874494232974507
ABCC1,6.612197505862298e-05
ABCC2,1.9274830603492638e-05
ABCC3,0.00200464378706199
ABCC5,4.797015166571749e-05
ABCC6,0.0029788624597782286
ABCC9,0.0002907513065798385
ABCD1,0.0020524977697669706
ABCD3,0.0027781377137561605
ABCD4,0.012221263343024083
ABCE1,0.0044914316638442805
ABCF1,0.0014282226480232794
ABCF2,5.6082003286341966e-05
ABCF3,0.00010931863630432463
ABCG1,0.02934426339836346
ABCG2,4.5167241094526995e-05
ABCG5,0.03310290619560936
ABCG8,0.027488010528698148
ABHD12,0.0004449407195769072
ABHD5,0.004548657772843134
ABHD6,0.0010220977541387326
ABI1,0.006087121246990523
ABI2,0.005323800237927625
ABI3,0.002129601115056528
ABL1,0.016245226058184997
ABL2,0.0019360587859270665
ABLIM1,0.0014497655127932586
ABLIM3,0.0014398828301380462
ABT1,0.0006647762439907686
ACAA1,0.02382704882779344
ACAA2,0.018435047088263486
ACACA,0.02183341890254177
ACACB,0.02311767590868201
ACAD11,0.0003502979126442514
ACAD8,0.003440851323947524
ACAD9,0.0019868203513804432
ACADL,0.007643499889918122
ACADM,0.002537433750681311
ACADS,0.019490791797152424
ACADSB,0.008995972464483415
ACADVL,0.006710117951155603
ACAP1,0.00024020971177408373
ACAP2,0.0003723795984330722
ACAT1,0.016419776496121953
ACAT2,0.0159578520929959
ACBD3,0.0023879599172385627
ACBD4,0.00029823817920634045
ACBD5,0.00031229295074498213
ACD,0.0018572193975360215
ACER3,0.0047794080906304074
ACHE,0.008184057067661748
ACIN1,0.0006802037120625897
ACKR2,0.03391299243366252
ACKR3,0.009839585502102618
ACLY,0.02399497967997767
ACMSD,0.009880032450180758
ACO1,0.017827309632535208
ACO2,0.0183169799831607
ACOT1,0.011672625139117673
ACOT12,0.010627131841600595
ACOT13,0.000228661540697703
ACOT2,0.011645863311890162
ACOT4,0.010383987942189053
ACOT7,0.0045022031967049
ACOT8,0.006940542626638749
ACOX1,0.031978846800633454
ACOX2,0.008334140642882985
ACOX3,0.0211390455007277
ACP5,0.007134047884710663
ACSF2,0.00045088452307727645
ACSF3,0.010621319156405589
ACSL1,0.0030018363401080194
ACSL3,0.0029275880542674773
ACSL4,0.002539901855789218
ACSL5,0.002923578513684185
ACSM1,0.000892275844804276
ACSM2A,0.0008616676037193487
ACSM2B,0.0008621594614253777
ACSM3,0.000493156154116713
ACSM5,0.0004823795888342457
ACSS1,0.02560187941207458
ACSS2,0.02476245713552626
ACSS3,0.009066131908724184
ACTA1,0.027107705189639415
ACTA2,0.0370406665106057
ACTB,0.053582086004893496
ACTG1,0.03788348143416359
ACTG2,0.007425412855174491
ACTL6A,0.010819344063022224
ACTN1,0.011258471605110941
ACTN4,0.012465050575275732
ACTR10,0.0021048005779989985
ACTR1A,0.0022140442088677396
ACTR1B,0.001112220721550392
ACTR2,0.010977354332633277
ACTR3,0.008194227321074502
ACTR3B,0.006456276405601167
ACTR3C,0.004106456621921435
ACTR5,0.0029646439606491725
ACTR6,0.0009149508263849975
ACTR8,0.0031678884220703645
ACVR1,0.009294675720405187
ACVR1B,0.003985507448711358
ACVR2A,0.00865074019274792
ACVR2B,0.008054997863648576
ACVRL1,0.006561814201230059
ACY1,0.026266844886728112
ACYP1,0.007313882311035143
ACYP2,0.007316170152877553
ADA,0.01283327768820668
ADAM10,0.008657286834397942
ADAM15,0.010893472412284654
ADAM17,0.00999702581202862
ADAM9,0.010510067348363152
ADAMTS10,0.0023049341066139588
ADAMTS13,0.005448866718106359
ADAMTS2,0.004786081501979526
ADAMTSL2,0.0014261355247173523
ADAMTSL4,0.002177525688660423
ADAP1,0.00036816268136566794
ADAR,0.001738638704613962
ADCY1,0.005352008955488442
ADCY10,0.0028202458948252793
ADCY3,0.008637257347283652
ADCY4,0.003016919256937274
ADCY5,0.00609407569765618
ADCY6,0.005799762520171821
ADCY9,0.004840288483810244
ADD1,0.0018644943762016117
ADD3,0.00260959856933464
ADGRA2,0.0004402186432383114
ADGRD1,0.0006881821530336644
ADGRE5,0.0017795929767152312
ADGRG1,0.005306362202396383
ADGRG3,0.0005959702289770525
ADGRL2,0.007063708444097772
ADH1A,0.036172421041268235
ADH1B,0.03623103943205399
ADH1C,0.03595935924954721
ADH4,0.03169848331043988
ADH5,0.032993382341703084
ADH6,0.03294253646865479
ADI1,0.008806194576019607
ADIPOR1,0.0033001561352892284
ADIPOR2,0.008860326459112975
ADK,0.018445064348299203
ADM,0.0020158860898750646
ADM2,0.0014196069176632658
ADNP,0.0001937618241518376
ADO,0.00328728781863828
ADORA2A,0.004654546418847451
ADPGK,0.01877869055742449
ADPRM,0.006287259375900325
ADRA1A,0.008016539261239389
ADRA1B,0.007765346789066749
ADRA2B,0.0062640639686638725
ADRB2,0.007645562755772896
ADRM1,0.006121907444843941
ADSL,0.02339277337613429
AEBP2,0.003514504126803826
AFDN,0.01004985857710874
AFF1,0.0033325472846867563
AFF4,0.0029521535788059224
AFG3L2,0.001120765648703878
AFMID,0.014672734918643906
AFP,0.03154499321626087
AFTPH,0.010275138363522649
AGAP1,0.0002845202088722303
AGER,0.022292247572584713
AGFG1,0.0006432735792465348
AGK,0.02879701488050207
AGL,0.005816773559432497
AGMAT,0.011301837479203204
AGMO,0.0009394630579629661
AGO1,0.004657006833838048
AGO2,0.009819577542896887
AGO3,0.00136931450817822
